domain,family,label
specialistgrabprotectattract.com,matsnu,dga
d5a16e57bb58dc9878220ae81cdb595f.com,tinynuke,dga
edfly.ie,manuelita,dga
omnibusclavisfreely.com,gozi,dga
ewhmomdevgckffgcdgil.com,zloader,dga
odsitongur.com,vawtrak,dga
vy4yy1c7eubycoqf.biz,chinad,dga
shhqhhnwrs.biz,mydoom,dga
yedyiisrqmoesiwj.com,bedep,dga
ipe8gt1dwn5tobcxa4ejavq.ddns.net,corebot,dga
southlunchblockwaitsellabuse.com,matsnu,dga
d5a5ac3f4ac58.feedback,monerominer,dga
xlxwjtlwtdokowdzyr.com,dircrypt,dga
aacccieauywcyskq.org,ramdo,dga
ntoressthat,deception,dga
refugeesfutures.jp,nymaim,dga
xtiidibdptejnnsk3g.com,bedep,dga
12v2j1ueeay1ob5l2y61s0dj2z.com,zeus-newgoz,dga
zzxeyzgy45yy2a.net,shiotob,dga
dezwgcf.fi,qsnatch,dga
svngomlito.com,dnschanger,dga
danfindintorndktc,deception,dga
myqefcvj.com,vidro,dga
opfoaaral.org,pitou,dga
gzgqnrsmtu.com,fobber,dga
pelupigunigivud.ddns.net,symmi,dga
crmnsewvd.com,ramnit,dga
kawhpwqi.com,vidro,dga
sg4ulf8oocv7bix1pq.cn,rovnix,dga
qkiramiq.biz,pykspa,dga
zjz45p43xkw1rxa.net,shiotob,dga
7ribdj6rkm13vo4q.org,chinad,dga
khiffptpxjby.in,tinba,dga
h7anhnivfabmubydz3.cn,rovnix,dga
1d3v8rg167q0981s2q9jj7gn8ta.org,zeus-newgoz,dga
gmjeetwwwjlo.com,tinba,dga
mbkxwrc2obyxmxy.ddns.net,corebot,dga
6geo28asigu4.org,qadars,dga
rucpfytj.cc,kraken,dga
rkuqqbkibcjotpuge.me,ranbyus,dga
ypslqxnc.co,proslikefan,dga
nwgsupbxiqyonbou.eu,emotet,dga
p838a206c20620d6e864fdb92ea9437aa8.so,dyre,dga
oqmluxyys.com,dircrypt,dga
bgtdvyumimxpfnwsgi.tw,necurs,dga
maidvejts.fr,charbot,dga
isfwp5kwr5ckw52.com,shiotob,dga
hcrv2yunug.xyz,qsnatch,dga
51127ce34258094b08fce29daa03e34a.com,tinynuke,dga
obevsukuuxge.ddns.net,symmi,dga
mfkvipgmrniinubc.com,bedep,dga
e41j26fuavhrjwg23gwkykzmwi35mwivkvet.ru,murofet,dga
iafyiqeoya.biz,pykspa,dga
throwsincomplete.yt,nymaim,dga
answerabove.net,suppobox,dga
9b86bb2ef4bad69cca0110076215e1f4.cz.cc,bamital,dga
gfzk.sh,conficker,dga
ceikolux.ru,pushdo,dga
y4uky82kekyg.top,qadars,dga
mfeemabdcakbcfdb.website,padcrypt,dga
lqmmsjulquvgvxvj.eu,emotet,dga
hwavoqjqjreug53dzhwo51nqh44kti45e31b48.net,murofet,dga
travelsmicrowave.biz,nymaim,dga
fh73yr1gtoif9udin9u1bpviwo.com,zeus-newgoz,dga
sightaugust.net,suppobox,dga
gkkltxm.co,proslikefan,dga
ordinariovenie.com,gozi,dga
axcdw0uxu6w4o8y85xy.ddns.net,corebot,dga
idfhlvrqhdjv.dyndns.org,vidro,dga
disixos.info,simda,dga
radiosurveyassociateasktake.com,matsnu,dga
pyuir87fonp18838.info,chinad,dga
ijgvgfyod.eu,proslikefan,dga
c18d443ca9390f89ae76a1ee65038966e7.tk,dyre,dga
gxaa.com.mt,conficker,dga
kpgrape.com,tempedreve,dga
zzktralrrpd.net,vidro,dga
i464uc6cu8us.top,qadars,dga
mdewmtiwmtma.info,sisron,dga
trkbdujrslql.me,necurs,dga
cloudexcusebluestrikeclaim.com,matsnu,dga
atertan,deception,dga
yjmtlupo31p2se.net,shiotob,dga
hcrv2yu.xyz,qsnatch,dga
emzudw.com,virut,dga
igeqfvywfendpuv.biz,cryptolocker,dga
88605851afca1d328a19db8e6b0c8159.com,tinynuke,dga
rfcwuhcgg.eu,proslikefan,dga
gp54qdebc6krgp7.ddns.net,corebot,dga
pupyteg.com,simda,dga
q8m6m0wnmfe8grox3vk4slu.ddns.net,corebot,dga
wsihshatfu.com,alureon,dga
qfkxaletqdoedqwl.com,sphinx,dga
ejydixphhy.nl,locky,dga
f3370dd59674f62d9230c76a11687743.com,tinynuke,dga
nhsgrsensinaix.com,banjori,dga
boifa5og80c24fr0.net,chinad,dga
aoodbbakbamnalld.de,padcrypt,dga
xmlcnynig.cc,proslikefan,dga
enkderhwqhiu.info,tinba,dga
campingwoclf.pl,charbot,dga
rgswctgpbadvycqh3l.com,bedep,dga
titaniumerrors.yt,nymaim,dga
ewayfmtelcirdgiq.com,sphinx,dga
loues.com,manuelita,dga
zmskyuzavl.com,dnschanger,dga
whivwwgxdifj.com,tinba,dga
somowwi.com,vawtrak,dga
pixwvrqgxyxdiim7r.com,bedep,dga
9d485ae04e3739d768c89a9457ef54b8.com,tinynuke,dga
22878534f9c16c443c57a7d8d649af4c.co.cc,bamital,dga
wdkliyatkpgbsnmwr.tv,necurs,dga
swhpdxpqgrxftdgji.com,ramnit,dga
mdiwmtiwmtma.com,sisron,dga
evkrqfqfyp.org,tempedreve,dga
vuclpwdttkjr.info,tinba,dga
nrvpvuaq.com,ramnit,dga
wgjfscibxljfbelqgvshobl.net,gameover,dga
vuxdeoca.ru,pushdo,dga
mkkfctdrecvnmdqm.eu,emotet,dga
nkoyxkbearyyw.com,ramnit,dga
roooiflp9t.net,shiotob,dga
qdqchfqb.info,tempedreve,dga
zbfskukzoqj1t.com,bedep,dga
hzn6tzj.cn,qsnatch,dga
pollutionmortgagesplitdeserve.com,matsnu,dga
lofafdnemocoabaf.com,padcrypt,dga
0e0678b40a0649f0508e3c16ccbbecf8.cz.cc,bamital,dga
hrx7alci417cssedfx.com,rovnix,dga
bczcwpu.eu,proslikefan,dga
saeatov.pl,charbot,dga
iqu8xwft1a1wgc3ach.cn,rovnix,dga
e2994459efec413d03d5923c9112afbb.com,tinynuke,dga
quuaso.com,virut,dga
puidbaalfa.ddns.net,symmi,dga
mabklnabnnondnbf.website,padcrypt,dga
dyxvompykmtmpoxtm.com,ramnit,dga
mjgxmjiwmtia.com,sisron,dga
sporttreeiceprovidefishchallenge.com,matsnu,dga
vvpgduipktvylvo.com,ramnit,dga
iayvjdbnfqncujuqq.net,ranbyus,dga
xslxyfuvjqjpxh.org,cryptolocker,dga
myk27a57bviqbybzdydzh24dtdwn40m39pql48.net,murofet,dga
xudosawo.ru,pushdo,dga
zuavaxhmc.ag,conficker,dga
dpbimmtreckh.com,ramnit,dga
fcfccmfdefdaflbd.cc,padcrypt,dga
keyaqgl1xvw1h7gzkv.biz,rovnix,dga
gwhbehjpkrycquwj.com,sphinx,dga
arogjfcijuyndwux.com,sphinx,dga
pqaqrrpwsa.in,mydoom,dga
golffeatureattractplaydig.com,matsnu,dga
pollutionperfectbreakfast.com,matsnu,dga
vmtgcxpydsriifbq.eu,emotet,dga
vpusae.com,virut,dga
dflzrsensinaix.com,banjori,dga
parufeufxagufae.ddns.net,symmi,dga
nqm29gznvi25hwewk27c49lqg43h44m19d30grdt.info,murofet,dga
opfoaarab.org,pitou,dga
ltt-inenetrimoine.fr,manuelita,dga
jxsiaa0fftrd5080.com,chinad,dga
dkfdckbobofcocac.website,padcrypt,dga
kluvgfdmmn.fr,locky,dga
aoggldpeyryvjwp.com,cryptolocker,dga
14ym1gpyivq6pup6jl.cn,rovnix,dga
ajxsforulrjeoiyw.eu,emotet,dga
sl2l1ytk7gdh887821e25efv.org,zeus-newgoz,dga
3llrickkgiplg6h0.com,chinad,dga
omhwgwa.net,oderoor,dga
hafecaz.info,simda,dga
1jlb3w219i9yrib1zxydhrv2q2.org,zeus-newgoz,dga
wpaqrspahn.in,mydoom,dga
caseoctover.net,suppobox,dga
mantelli4ence.biz,charbot,dga
odiyljkzbn.com,fobber,dga
glgijml.net,kraken,dga
uymudv.com,virut,dga
jeaseoso.ru,pushdo,dga
fvewcsrj.tv,kraken,dga
doptwgttbswrvurerygp.info,qakbot,dga
rphia87amgixenoy.org,chinad,dga
sicuoq8egegy.net,qadars,dga
g274ybor1vihgf3.ddns.net,corebot,dga
cauiwahaw.me,pitou,dga
cuxwtlrpswemyhijucprttocuxg.ru,gameover,dga
qjokrdooycqd.net,necurs,dga
eqqugsuiwcymao.biz,pykspa,dga
shaqnrmqea.biz,mydoom,dga
xuhveu.com,virut,dga
phqspmmnea.in,mydoom,dga
werkepurgasecurus.com,gozi,dga
zjwqrsensinaix.com,banjori,dga
incauakap.mobi,pitou,dga
invfuwxragrj.biz,cryptolocker,dga
xttdvdbugwgthqmb.com,sphinx,dga
leijtigmgrkwsewy.eu,emotet,dga
elswsbs.ht,conficker,dga
pfmhlmzpmr.com,alureon,dga
cewcqqscqoasyiok.org,ramdo,dga
hhmucwrwqsk.com,oderoor,dga
e07l3l7t7x58kfc.ddns.net,corebot,dga
xxaskwdoi.net,kraken,dga
snsnfliebxtlhmevki.eu,necurs,dga
i9jurp2yly3x0dpv.info,chinad,dga
gadyfoz.com,simda,dga
henimlar.com,vawtrak,dga
qycfvfephpli.com,tinba,dga
until-infant.ps,nymaim,dga
oldlogicachi.com,manuelita,dga
tmsgxbcldqbbovwud.cc,ranbyus,dga
cznerufqbex.cc,pykspa,dga
hhqaiifox.com,pykspa,dga
bpzsqyubyv.com,dircrypt,dga
ounsjqpudqi35gra27ospsismvj26nsa27f42.biz,murofetweekly,dga
ivtkgkmbai.com,fobber,dga
11os9kp1c2wuu7rw3hwo1e7xzh9.biz,zeus-newgoz,dga
hueutawak.us,pitou,dga
phmcjhnuxx.com,alureon,dga
sendmovie.co.uk,manuelita,dga
kxmatbirkghehetma.su,ranbyus,dga
dghsxjglpt.com,dnschanger,dga
pxjkrsensinaix.com,banjori,dga
rkumxtnoufdooxenwtj.com,ramnit,dga
ghsmtkvxbidpwhibh.net,ranbyus,dga
sunbecomeordercommentdemand.com,matsnu,dga
gudtb1f.info,qsnatch,dga
vvsmush.us,charbot,dga
clickownaccountshowwellfloor.com,matsnu,dga
8e0651da22685.feedback,monerominer,dga
s8oa1ux5g7bw2a0y.com,chinad,dga
wnlmnjpdcw.com,dnschanger,dga
qfof3hm434s21te4ungb5hq.ddns.net,corebot,dga
ohohqowoxoevisp.ddns.net,symmi,dga
awjz.com.pt,conficker,dga
t2eserverildia.uk,charbot,dga
bmhwwvjvbeir.com,tinba,dga
z2c6932dfc751e4e8a6b6f2e15e869f6eb.in,dyre,dga
bokwanri.ru,pushdo,dga
ugnrcaovhqklhuyplbzfynbzt.com,gameover,dga
axu9oeay6nmfe13lt1t1p4o8.biz,zeus-newgoz,dga
nreopsnbwg8qncux.ru,chinad,dga
akocordepthbkbmyt.tw,ranbyus,dga
bda9d85b1bcf3.feedback,monerominer,dga
ppcgsnxlhaffhbxn.com,sphinx,dga
cpjjwwhvqk.com,dnschanger,dga
osuhgatle.com,vawtrak,dga
e860b2f99e8f744b9feab9173e47be274f.hk,dyre,dga
wwnk9m7g.men,qsnatch,dga
kimberleighatterberry.net,suppobox,dga
ohsqinosq.co,proslikefan,dga
mmcbdklbfcmaeaof.co.uk,padcrypt,dga
tkuhzfpiw2rtedkv.biz,chinad,dga
mulorgatl.com,vawtrak,dga
b28jqcwi15a57nzjzbtbuhqg43breyc19euev.biz,murofet,dga
knfxapitpw4j.com,bedep,dga
rrfqdmdshbmvfp.com,ramnit,dga
fkjr.cz,conficker,dga
kerpjear-disneys-plus.biz,manuelita,dga
nosplenariecharitatis.com,gozi,dga
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.info,bamital,dga
fliercondition.net,suppobox,dga
oyfsakmtdctkujop.eu,emotet,dga
wlyqpadvxb.com,alureon,dga
harottery.nz,charbot,dga
yprekeusucash,deception,dga
eagkjqmsei.com,fobber,dga
ehwtgigj.gr,conficker,dga
lecwavwmrv.com,alureon,dga
cwnizwzd.cc,oderoor,dga
uowslaiq.net,pykspa,dga
2020-01-05,zloader,dga
irrjkjnowwue.biz,tinba,dga
streaming-generation.sh,nymaim,dga
hzn6tzj2e.cn,qsnatch,dga
rofsrlshp.com,qakbot,dga
openingdelayboatorderwish.com,matsnu,dga
bootboardgatherpoundcarry.com,matsnu,dga
jobdyldcxbaqyopfiu.com,dircrypt,dga
mosergo.com,vawtrak,dga
xchyhudebqainzxgugpnjntwsgqci.biz,gameover,dga
xwmranthaemqtszlydvorx.org,gameover,dga
vvpfrsensinaix.com,banjori,dga
hslrdovguvxfjmrfvl.com,ramnit,dga
iwgsnia.net,charbot,dga
linkculturepagefatherpen.com,matsnu,dga
7kbw93.ml,qsnatch,dga
ijdhezxdvghaozztmzqsvktl.com,gameover,dga
brooklynnkimberly.net,suppobox,dga
trustvoiceattractpressdog.com,matsnu,dga
szludyfqbex.cc,pykspa,dga
wkttcrgplwskrgukdipveazleu.net,gameover,dga
waimeicankao.org,charbot,dga
drelzqognj.com,fobber,dga
aaoffmaablafaanm.co.uk,padcrypt,dga
g6854f4c620415e06da72aa3275786a6e3.tk,dyre,dga
ybr0luylkt.in,qsnatch,dga
obdqthhgytlzfpfqpnrdai.ru,gameover,dga
mrhspeeqns.in,mydoom,dga
alamffnccloafdbk.com,padcrypt,dga
hwdunzxxeq.com,alureon,dga
nosehave.net,suppobox,dga
t8c557cf8ce154fd0a0750ff7f5d707291.cn,dyre,dga
ahyyiwaqkljrpg.biz,qakbot,dga
cauiwahak.me,pitou,dga
xdpipke.tv,oderoor,dga
movgkvsmlvlmwwj.com,murofet,dga
lvctmusxcyz.net,oderoor,dga
gsrbgwecdgjidgdc.eu,emotet,dga
growthchiptextpersuadedemand.com,matsnu,dga
fb94fef8f3f1115d057d9746d49bc27ebd.so,dyre,dga
vthshakuzy.com,alureon,dga
u4d7f5ecb345d76d735120204eb40a3f54.cc,dyre,dga
cmbuofqolvtktsgbqrwfubyozrgjrpv.com,murofet,dga
jhqzwjtb.cc,kraken,dga
a6875350174082da7676dca7bdf0b15f.org,bamital,dga
unfraepiscopivitaeluci.com,gozi,dga
wdlrmrv.info,tempedreve,dga
vgguflvlpnzg.com,dircrypt,dga
78ccd396deeb27257253e3f8625fa69e.cz.cc,bamital,dga
kdfuedzheqx.info,tempedreve,dga
yytsgypat.us,locky,dga
hahoreh.info,simda,dga
fsgrdrprsm.com,alureon,dga
suxonjdknr.cc,oderoor,dga
jnqgpvkgexhumrdamhizxdvclz.org,gameover,dga
bmbvvpakwmxwy.info,cryptolocker,dga
fcqsydvulvyvdfihw.cc,ranbyus,dga
rxwgzdmbkbqgtgkrscpvmftlbqh.ru,murofet,dga
hzn6tzj2.cn,qsnatch,dga
vnglmtdg.cc,proslikefan,dga
cq9net.name,charbot,dga
uzbaaasag.com,pitou,dga
ghhxnmnansnan.org,pykspa,dga
ueqpslhose.cc,oderoor,dga
iidpuauvc.com,ramnit,dga
akyuqkuiwcymao.biz,pykspa,dga
qqftngis.de,locky,dga
l42340431e77847aebc6a6a1664ea226ee.in,dyre,dga
tradasturshikdalci,deception,dga
casetear.net,suppobox,dga
mzaxmjiwmtia.com,sisron,dga
gkzjist1zwig8jdxol.com,rovnix,dga
vlocfthdnfpbgmh.be,locky,dga
fyytaomqlkc.yi.org,kraken,dga
jqseenipxeywhen.com,dircrypt,dga
jfwarsensinaix.com,banjori,dga
veoopaqaf.org,pitou,dga
uszovk.net,pykspa,dga
kuysaymuaakockge.org,ramdo,dga
ejsutxn.com,vidro,dga
apmymvgshjaakgumm.cc,ranbyus,dga
cloudwash.net,suppobox,dga
acsbahq.cz,charbot,dga
7kbw939.ml,qsnatch,dga
pwbedkjslrrq.com,tinba,dga
incauakag.mobi,pitou,dga
axmnytrgrdr.com,kraken,dga
cqnuaqsiwk.com,dnschanger,dga
qm42b62rnaw8nhwh54.biz,rovnix,dga
ixktojq.com,tempedreve,dga
7d52b756cc53c.hosting,monerominer,dga
uzbaaasab.com,pitou,dga
gkpylmwfbgrksin.org,cryptolocker,dga
bhwcivhqbydqfqkc.com,sphinx,dga
xutohin.info,simda,dga
isfwv51tkcqi21pf79hbskg4hx.net,zeus-newgoz,dga
hpxfjytirajrdpiu.eu,emotet,dga
evkwboxislnplmnuyvtbcmwcu.biz,qakbot,dga
a221218b9ca2d446ad0822f37c1fc7af4c.tk,dyre,dga
oomfnwmmeplnoij.com,murofet,dga
ayuigueoya.info,pykspa,dga
1vuvx3f1xbxdi9zqfc487gnbb8.net,zeus-newgoz,dga
areelrjr.lu,conficker,dga
ymagonf.net,tempedreve,dga
odinm6cnw0on18q8ijk.ddns.net,corebot,dga
vsojbhtdeoxvxpqopguy.com,dircrypt,dga
tpuftuykpqvejqwjp.mn,necurs,dga
teatujivfp,deception,dga
pagerepairprofileexpress.com,matsnu,dga
xlhwrsensinaix.com,banjori,dga
fi12z1710bq4kei0.net,chinad,dga
kayjbagbalnwd7w.com,bedep,dga
rrcrqyikatrcvcqg.eu,emotet,dga
36d0865627252e32d3786acf73bbae54.com,tinynuke,dga
rbpllsnxvcpnkfvxfpfh.com,zloader,dga
eupbmftocahaypzbmmvbyjffah.com,murofet,dga
mmwarsensinaix.com,banjori,dga
kkwgxmnansnan.com,pykspa,dga
ybbfsolceqepahlpahas.com,zloader,dga
tdrnrdidqn.com,alureon,dga
xtmadmcnuveeuq.com,ramnit,dga
utedpipra.pm,locky,dga
ucwukisaa.ddns.net,symmi,dga
chairrepairarestorelandprogram.com,matsnu,dga
txdokpyrqtrhtlwt.eu,emotet,dga
mjuxmjiwmtia.com,sisron,dga
apapnqphws.com,mydoom,dga
ozqfljwiyi.biz,qakbot,dga
fqymiuswxj.com,fobber,dga
a8k6sd1d14gxkbkhkxk.ddns.net,corebot,dga
w6afa8svsv1vgv7p3rs.ddns.net,corebot,dga
hapadis.info,simda,dga
zyauva.com,virut,dga
bcnfsu.cc,proslikefan,dga
pufuje.info,simda,dga
aaabcnddbdcbmnme.net,padcrypt,dga
tyetvuwrogsiinjvybhp.com,zloader,dga
abqeccvqtbs.net,vidro,dga
lzpzrsensinaix.com,banjori,dga
u7dvfi25gwne7owhkbthkdyv.org,zeus-newgoz,dga
xsitxc.eu,proslikefan,dga
henffaoe.com,dircrypt,dga
kymaaukaqwaiokwg.org,ramdo,dga
fuvonsife.co,charbot,dga
montgomeryconstable.net,suppobox,dga
3458d5zdv5afkzdi.net,chinad,dga
secuergosimuteo.com,gozi,dga
mohycohyhpjfmlejabjv.com,zloader,dga
jrcti35btn20p12e21grm59lrmrm29c19pze11hw.com,murofetweekly,dga
daekfiqaofboh.ddns.net,symmi,dga
xekbhpkfhy.com,dnschanger,dga
preutimkow.be,manuelita,dga
gegixiexa.ddns.net,symmi,dga
qkciemguumuqguaa.org,ramdo,dga
hmymoovueqdc.pw,tinba,dga
fhlyrsensinaix.com,banjori,dga
ctiswadsholapet.org,pykspa,dga
c2mtmrc438c4k0u2i2mbgru.ddns.net,corebot,dga
su4taf8mdkgf7t2yzb.net,rovnix,dga
kkeosmxsv.co,proslikefan,dga
uknotobsjerculture.org,manuelita,dga
gihtpijbulgenrttjzof.com,gameover,dga
5bac62187ce46b21e11c8ed081fa39a0.co.cc,bamital,dga
myyqyvgipy.com,fobber,dga
peacanda.ru,pushdo,dga
xedianx4ewnhct.net,shiotob,dga
47e01642eedb2.feedback,monerominer,dga
fhbsrsensinaix.com,banjori,dga
bg5vlsk2brdfdrun.cn,chinad,dga
mjkxmjiwmtia.info,sisron,dga
5pwvarel165pg6sn1lk.ddns.net,corebot,dga
mrueewva.com,ramnit,dga
f32mriyl68lskteydxe61jvg33p12o21psmso11.info,murofetweekly,dga
mzbtfza57bygzbrl28d60a57o41d20drowc19h14.net,murofetweekly,dga
ccmfadfdncckcdaa.com,padcrypt,dga
kdaxlcidhx.com,kraken,dga
5l0okp1boizhg1lus61rjjh7h.org,zeus-newgoz,dga
gzl58muc19fwetgwhslwoumqizk17lyjxh34.com,murofetweekly,dga
jbyqtxhuyb.com,dnschanger,dga
udkktzfnib.net,vidro,dga
anokv399lnkd1ki8j7k1wurptf.net,zeus-newgoz,dga
tpclgqknovyxucqye.com,ranbyus,dga
rkdnpafhmqtg.com,ramnit,dga
zoipmnwr.tv,oderoor,dga
hefzvxv.net,vidro,dga
qxlsdswi.eu,proslikefan,dga
xdmjoiprbdok.info,qakbot,dga
tony-photos.sh,nymaim,dga
i5te740ng7fml7cw.biz,chinad,dga
c8023849928c0f767009e75ccb930d0a.com,tinynuke,dga
reviewrubinvitegaragerealize.com,matsnu,dga
623bf20d36fd8.blackfriday,monerominer,dga
xmkutckajtxbalsfw.com,bedep,dga
ergttxirjrmnqnd.net,murofet,dga
iivqurfuueed.com,tinba,dga
yxfunuexuy.com,ramnit,dga
13b55da09bf0142a68b0e82e05457d6e.com,tinynuke,dga
bffddbffcaceoecd.co,padcrypt,dga
lucvznygr.com.ua,qsnatch,dga
sfpnkbwlfs.net,qakbot,dga
nuilaaxaz.mobi,pitou,dga
mdewmtiwmtma.net,sisron,dga
qegul.eu,simda,dga
faed4637f02f9.blackfriday,monerominer,dga
bittmukomwuida.ru,cryptolocker,dga
jovdfj.com,virut,dga
rvbcitehatcrshy.fr,locky,dga
ciwqiuyyeayoaigs.org,ramdo,dga
wwmcuisigmciewem.org,ramdo,dga
djtujkntbeljjfqs.eu,emotet,dga
hvtgjjqipje.fr,locky,dga
iiowip.com,virut,dga
btewlkmsmjpoiot.info,murofet,dga
akbzdvi.cc,proslikefan,dga
8f805dd38bc69.tickets,monerominer,dga
7kbw9397sm.ml,qsnatch,dga
vpxdhbbxevm.su,necurs,dga
mdiwmtiwmtma.net,sisron,dga
tomatoeshotel.am,nymaim,dga
91e5035544527c88d005bd730e73df71.cz.cc,bamital,dga
wjarmzghkrc.com,tempedreve,dga
agq0qcqse0y8.org,qadars,dga
gqxklrtkydjbaiqchiqgofdmmnnvg.org,murofet,dga
08306a8e02418.org,monerominer,dga
ojyhgmylgascducmbgaxljsclb.com,murofet,dga
oxqapaaval.ddns.net,symmi,dga
ckxkdyoqis.com,dnschanger,dga
8cbcf2593d080.hosting,monerominer,dga
cxktgt3rs2enghs.ddns.net,corebot,dga
wvumljiobwerx.com,bedep,dga
gqryynqfftdfwxiucwjr.com,zloader,dga
pqcfnksobchq.com,tinba,dga
c8d0e6b3000c1.hosting,monerominer,dga
wzcedrge.net,tempedreve,dga
plkvsglqknbfbbxk.com,sphinx,dga
j16l68c19cvl38mug23czdqora37o51ktptk57dy.com,murofetweekly,dga
lawuewadq.ddns.net,symmi,dga
cfsrg8wnshqp5r7.ddns.net,corebot,dga
ewagdwiugkeq.info,pykspa,dga
7c8f6b7ea5dd92030528e81038a946b8.cz.cc,bamital,dga
gytmailfxs.com,fobber,dga
bnegclwoagtinx.su,ranbyus,dga
wnodslwjif7fah5j50u.ddns.net,corebot,dga
erayfaaal.name,pitou,dga
errepresnr.ws,mydoom,dga
gojkdufqbex.com,pykspa,dga
whtmkknhzhtuhbmjkoc.org,qakbot,dga
cauiwahay.me,pitou,dga
0y4igasi0m8e.top,qadars,dga
udlafonn.com,vawtrak,dga
chancefixedcakenumberapologize.com,matsnu,dga
ncxxwbgamcyfpwsvoi.ki,necurs,dga
mrqmmqsapa.in,mydoom,dga
lspjoozphsqekmm.com,murofet,dga
oncp7jcnmtmnutorw6g.ddns.net,corebot,dga
redbreakfastparentconsult.com,matsnu,dga
rynucalagew.eu,simda,dga
ekdafmfffecmndfd.com,padcrypt,dga
frhtm39gqgwbyhze51jwm29f42p32j26jra27m29.ru,murofet,dga
lhmirpgebaooetcg.eu,ramnit,dga
kyppgkodpsereccle.su,ranbyus,dga
hyvpgtlpkmkf.com,tinba,dga
enwehidl.com,vawtrak,dga
mivlutqig.cc,kraken,dga
aocednfflbeenlkf.com,padcrypt,dga
srnmneseen.biz,mydoom,dga
nmeakflbnabflddm.com,padcrypt,dga
xubovad.info,simda,dga
duyvxjbzhq.com,dnschanger,dga
kcwrtasyta.com,dnschanger,dga
ovotgdavgl.org,tempedreve,dga
ghopshsxc.com,tempedreve,dga
w2oagqg2cmwi.org,qadars,dga
